,original_title,genres,overview,user_id
308,The Good Thief,"Crime, Drama, Thriller",A compulsive gambler plans the heist of his life - a priceless collection of art from the world-class Casino Riviera in Monte Carlo.,62
309,Mere Brother Ki Dulhan,"Drama, Comedy, Romance","London-based Luv Agnihotri decides to end his bachelorhood and asks his Bollywood film-maker brother, Kush, to find a bride for him - much to the displeasure of his Dehradun-based father. Kush accordingly meets and interviews a variety of women, and finally selects Delhi-based Dimple Dixit, a woman he had known before, to be the perfect match. Dimple and Luv meet on-line, are attracted to each other, and the former travels to India where the two families get the couple formally engaged. It is then Dimple decides that she prefers Kush. Watch as things spiral out of control when she insists that Kush must elope with her.",62
310,A Dandy in Aspic,"Thriller, Drama","Double-agent Alexander Eberlin is assigned by the British to hunt out a Russian spy, known to them as Krasnevin. Only Eberlin knows that Krasnevin is none other than himself! Accompanying him on his mission is a ruthless partner, who gradually discovers his secret as Eberlin tries to maneuver himself out of a desperate situation.",62
311,The Golden Compass,"Adventure, Fantasy","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",63
312,Avalon,Drama,"Avalon is the third in Levinson's semi-autobiographical series of four ""Baltimore Films"": Diner (1982), Tin Men (1987), Avalon (1990), and Liberty Heights (1999). The film is set in Baltimore in the early 1950s and explores the themes of Jewish assimilation into American life.",63
313,Sweet Sixteen,"Crime, Drama","Determined to have a normal family life once his mother gets out of prison, a Scottish teenager from a tough background sets out to raise the money for a home.",63
314,We Own the Night,"Drama, Crime, Thriller",A New York nightclub manager tries to save his brother and father from Russian mafia hitmen.,63
315,Fever Pitch,"Comedy, Romance","A romantic comedy about a man, a woman and a football team. Based on Nick Hornby's best selling autobiographical novel, Fever Pitch. English teacher Paul Ashworth believes his long standing obsession with Arsenal serves him well. But then he meets Sarah. Their relationship develops in tandem with Arsenal's roller coaster fortunes in the football league, both leading to a nail biting climax.",63
316,Crustacés et coquillages,Comedy,Crustaces et Coquillages is a fresh French comedy film with numerous surprise turnarounds and about the tolerance of a family of four. The family spend an idealistic summer vacation together where each of the family members gets involved in a new or old relationship.,64
317,Knallhart,"Drama, Thriller","From the youth directed novel of the same name by Greogor Tressnow comes a film by Detlev Buck that is a realistic portrait of life in the section of Berlin called Neukölln. It’s about power and weakness, delinquents and victims, and the difficulties a 15-year-old faces in a poor and criminal environment.",64
318,The Hours,Drama,"""The Hours"" is the story of three women searching for more potent, meaningful lives. Each is alive at a different time and place, all are linked by their yearnings and their fears. Their stories intertwine, and finally come together in a surprising, transcendent moment of shared recognition.",64
319,Back to the Future Part II,"Adventure, Comedy, Family, Science Fiction","Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",64
320,Lost in Translation,Drama,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",64
321,Hard Target,"Action, Adventure, Crime, Thriller","When a woman's father goes missing, she enlist a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",65
322,The Thomas Crown Affair,"Drama, Crime, Romance","A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",65
323,Bean,Comedy,"Bean works as a caretaker at Britain's formidable Royal National Gallery, and his bosses want to fire him because he sleeps at work all the time, but can't because the chairman of the gallery's board defends him. They send him to USA, to the small Los Angeles art gallery instead, where he'll have to officiate at the opening of the greatest US picture ever (called ""Whistler's Mother"").",65
324,While You Were Sleeping,"Comedy, Drama, Romance","A love story built on a misunderstanding. A transit worker pulls commuter Peter off the tracks after he's mugged. But while he's in a coma, his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.",65
325,"Je vais bien, ne t'en fais pas",Drama,"A 19-year-old searches for her twin brother after he runs away from home, following a fight with their father.",65
326,Die Hard 2,"Action, Thriller","John McClane is an off-duty cop gripped with a feeling of déjà vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics.",66
327,M,"Drama, Action, Thriller, Crime","In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",66
328,The Golden Compass,"Adventure, Fantasy","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",66
329,Don't Come Knocking,"Drama, Music","Howard Spence has seen better days. Once a big Western movie star, he now drowns his disgust for his selfish and failed life with alcohol, drugs and young women. If he were to die now, nobody would shed a tear over him, that's the sad truth. Until one day Howard learns that he might have a child somewhere out there...",66
330,We Own the Night,"Drama, Crime, Thriller",A New York nightclub manager tries to save his brother and father from Russian mafia hitmen.,66
331,Poltergeist,Horror,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late.",67
332,Before Sunrise,"Drama, Romance","A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",67
333,Elementarteilchen,"Drama, Romance","Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.",67
334,La vita è bella,"Comedy, Drama",A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,67
335,Idioterne,"Drama, Comedy",With his first Dogma-95 film director Lars von Trier opens up a completely new film platform. With a mix of home-video and documentary styles the film tells the story of a group of young people who have decided to get to know their “inner-idiots” and thus not only facing and breaking their outer appearance but also their inner.,67
336,Titanic,"Drama, Romance, Thriller","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",68
337,Psycho,"Drama, Horror, Thriller","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower.",68
338,Rope,"Crime, Drama, Mystery, Thriller","Two young men strangle their ""inferior"" classmate, hide his body in their apartment, and invite his friends and family to a dinner party as a means to challenge the ""perfection"" of their crime.",68
339,Big Fish,"Adventure, Fantasy, Drama","Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",68
340,My Name Is Bruce,"Comedy, Horror",B Movie Legend Bruce Campbell is mistaken for his character Ash from the Evil Dead trilogy and forced to fight a real monster in a small town in Oregon.,68
341,Ariel,"Drama, Crime","Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...",69
342,Reservoir Dogs,"Crime, Thriller","A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",69
343,Batman Returns,"Action, Fantasy","Having defeated the Joker, Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society. Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light. Selina Kyle, Max's secretary, is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman. Batman must attempt to clear his name, all the time deciding just what must be done with the Catwoman.",69
344,Wag the Dog,"Comedy, Drama","During the final weeks of a presidential race, the President is accused of sexual misconduct. To distract the public until the election, the President's adviser hires a Hollywood producer to help him stage a fake war.",69
345,The Searchers,Western,"As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable.",69
346,Poltergeist,Horror,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late.",70
347,La vita è bella,"Comedy, Drama",A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,70
348,A Hard Day's Night,"Comedy, Music","Capturing John Lennon, Paul McCartney, George Harrison and Ringo Starr in their electrifying element, 'A Hard Day's Night' is a wildly irreverent journey through this pastiche of a day in the life of The Beatles during 1964. The band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of Paul's troublemaking grandfather and Ringo's arrest.",70
349,L'Aile ou la Cuisse,Comedy,"Charles Duchemin, a well-known gourmet and publisher of a famous restaurant guide, is waging a war against fast food entrepreneur Tri- catel to save the French art of cooking. After having agreed to appear on a talk show to show his skills in naming food and wine by taste, he is confronted with two disasters: his son wants to become a clown rather than a restaurant tester and he, the famous Charles Duchemin, has lost his taste!",70
350,Sunrise: A Song of Two Humans,"Drama, Romance","A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",70
351,Dracula vs. Frankenstein,"Horror, Science Fiction",Dracula conspires with a mad doctor to resurrect the Frankenstein Monster.,71
352,Dances with Wolves,"Adventure, Drama, Western","Wounded Civil War soldier, John Dunbar tries to commit suicide – and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",71
353,Аэлита,"Science Fiction, Adventure, Drama, Fantasy","The movie is set at the beginning of the NEP (New Economic Policy) in December, 1921. A mysterious radio message is beamed around the world, and among the engineers who receive it are Los, the hero, and his colleague Spiridonov. Los is an individualist dreamer. Aelita is the daughter of Tuskub, the ruler of a totalitarian state on Mars in which the working classe are put into cold storage when they are not needed. With a telescope, Aelita is able to watch Los. As if by telepathy, Los obsesses about being watched by her. After some hugger-mugger involving the murder of his wife and a pursuing detective, Los takes the identity of Spiridonov and builds a spaceship. With the revolutionary Gusev, he travels to Mars, but the Earthlings and Aelita are thrown into prison by the dictator. Gusev and Los begin a proletarian uprising, and Aelita offers to lead.",71
354,Erbsen auf halb 6,Drama,"It all starts with a bang. The car breaks through the crash barrier and falls off the bridge. The lights go out. After that, he is not able to see anymore. His optic nerve is severed, from now on the young stage-director Jakob is blind. His life will change and nothing will ever be the same. Jakob cannot handle the idea of never being able to see again and screams at the only woman who is able and willing to help him, Lily. A rehabilitation teacher, she helps the blind deal with the darkness. Lily has been living with it since birth, she too is blind.",71
355,The Tailor of Panama,"Drama, Thriller","A British spy is banished to Panama after having an affair with an ambassador's mistress. Once there he makes connection with a local tailor with a nefarious past and connections to all of the top political and gangster figures in Panama. The tailor also has a wife, who works for the Panamanian president and a huge debt. The mission is to learn what the President intends to do with the Canal.",71
356,Die Frau mit den 5 Elefanten,"Documentary, Foreign","Documentary about Svetlana Geier, a Ukranian who has translated the great works of Dostoyevsky into German. First her father ends up in one of Stalin's prison camps, then young Svetlana herself experiences the German invasion. In order to survive she learns German at home in Kiev. She is good and gets work as a translator before ending up in a German camp in 1943. Now, 65 years later, she is a renowned translator who in her twilight years has translated the great works of Dostoevsky. For the first time in all these years, she returns to Kiev together with her granddaughter.",72
357,"Edward, My Son",Drama,"Following the death of his only son, a ruthless businessman reflects on his life, his unhappy marriage and his questionable parenting skills. Released in 1949, starring Spencer Tracy and Deborah Kerr.",72
358,Stitches,Horror,"The clumsy and unfunny clown Richard ""Stitches"" Grindle entertains at the 10th birthday party of little Tom, but the boy and his friends play a prank with Stitches, tying his shoelaces. Stitches slips, falls and dies. Six years later, Tom gives a birthday party for his friends at home, but Stitches revives to haunt the teenagers and revenge his death.",72
359,Mere Brother Ki Dulhan,"Drama, Comedy, Romance","London-based Luv Agnihotri decides to end his bachelorhood and asks his Bollywood film-maker brother, Kush, to find a bride for him - much to the displeasure of his Dehradun-based father. Kush accordingly meets and interviews a variety of women, and finally selects Delhi-based Dimple Dixit, a woman he had known before, to be the perfect match. Dimple and Luv meet on-line, are attracted to each other, and the former travels to India where the two families get the couple formally engaged. It is then Dimple decides that she prefers Kush. Watch as things spiral out of control when she insists that Kush must elope with her.",72
360,A Dandy in Aspic,"Thriller, Drama","Double-agent Alexander Eberlin is assigned by the British to hunt out a Russian spy, known to them as Krasnevin. Only Eberlin knows that Krasnevin is none other than himself! Accompanying him on his mission is a ruthless partner, who gradually discovers his secret as Eberlin tries to maneuver himself out of a desperate situation.",72
361,Rising Sun,"Action, Drama, Thriller","When a prostitute is found dead in a Los Angeles skyscraper occupied by a large Japanese corporation, detectives John Conner and Web Smith are called in to investigate. Although Conner has previous experience working in Japan, cultural differences make their progress difficult until a security disc showing the murder turns up. Close scrutiny proves the disc has been doctored, and the detectives realize they're dealing with a cover-up as well.",73
362,Very Annie Mary,Comedy,"Set in the fictional village of ""Ogw"" in the valleys of south-east Wales. After her father Jack suffers a stroke Annie Mary Pugh is forced to take care of him but uses the circumstances to emancipate herself and find the courage to sing once again.",73
363,Daydream Believers: The Monkees Story,"Drama, Music, Documentary","In 2000, VH-1 produced the television biopic Daydream Believers: The Monkees' Story. In 2002, the movie was released on DVD, and featured both commentaries and interviews with Dolenz, Jones and Tork. The aired version did differ from the DVD release as the TV version had an extended scene with all four Monkees but with a shortened Cleveland concert segment. It was also available on VHS.",73
364,Five Bloody Graves,"Western, Thriller","A lone gunman hunts the fearsome Apache Satago across the plains of the Wild West. When Satago's marauders ambush a stagecoach, the gunman rides to the rescue of the trapped passengers and helps them in their last stand against the deadly Indians.",73
365,รถไฟฟ้า มาหานะเธอ,"Comedy, Romance","Mei Li is a 30 year old woman who has one bad habit of getting drunk at her friend’s weddings. All because weddings seem to remind her of her single, manless, lonely life. One night, Mei Li wakes up in the middle of the night and went up to the roof to drink beer alone, which became a big scandal that led her to meet Lung, a maintainance engineer of the BTS electric train system. Meeting this strange innocent man without being drunk stirs something within Mei Li for the first time in all of her 30 years.",73
366,Or,Drama,"Or shoulders a lot: she's 17 or 18, a student, works evenings at a restaurant, recycles cans and bottles for cash, and tries to keep her mother Ruthie from returning to streetwalking in Tel Aviv. Ruthie calls Or ""my treasure,"" but Ruthie is a burden. She's just out of hospital, weak, and Or has found her a job as a house cleaner. The call of the quick money on the street is tough for Ruthie to ignore. Or's emotions roil further when the mother of the youth she's in love with comes to the flat to warn her off. With love fading and Ruthie perhaps beyond help, Or's choices narrow.",74
367,Captain Corelli's Mandolin,"Drama, History, Romance","When a Greek fisherman leaves to fight with the Greek army during WWII, his fiancee falls in love with the local Italian commander. The film is based on a novel about an Italian soldier's experiences during the Italian occupation of the Greek island of Cephalonia (Kefalonia), but Hollywood made it into a pure love story by removing much of the ""unpleasant"" stuff.",74
368,Une vieille maîtresse,"Drama, Romance","Secrets, rumors and betrayals surround the upcoming marriage between a young dissolute man and virtuous woman of the French aristocracy.",74
369,Say Anything...,"Comedy, Drama, Romance","A budding romance between noble underachiever Lloyd Dobler and high school valedictorian Diane Court is threatened when Diane's overly possessive, disapproving father interferes with their relationship. With a prized scholarship to study abroad hanging in the balance, Diane must find a way to make both men happy.",74
370,Qui a tué Bambi ?,Thriller,"Isabelle, a beautiful nursing student, is starting her internship at a prestigious hospital. She meets Dr. Philip there, feels atracted to him from the beggining and starts suffering from strange fainting; so he calls her Bambi: her legs don't support her. Patients mysteriously start to dissappear from their rooms; so Bambi and Dr. Philip start a cat vs. mouse paranoid game, in order to catch the probable killer.",74
371,Sweet Sixteen,"Crime, Drama","Determined to have a normal family life once his mother gets out of prison, a Scottish teenager from a tough background sets out to raise the money for a home.",75
372,Gods and Monsters,Drama,"It's 1957, and Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",75
373,Vivement dimanche!,"Drama, Comedy, Crime","Claude Massoulier is murdered while hunting at the same place as Julien Vercel (Jean-Louis Trintignant), an estate agent who knew him and whose fingerprints are found on Massoulier's car. As the police discover that Marie-Christine Vercel (Caroline Sihol), Julien's wife, was Massoulier's mistress, Julien is the prime suspect. But his secretary, Barbara Becker (Fanny Ardant), while not quite convinced he is innocent, defends him and leads her private investigations.",75
374,Yankee Doodle Dandy,"Drama, Music","A film of the life of the renowned musical composer, playwright, actor, dancer and singer George M. Cohan.",75
375,Rocky IV,Drama,"Rocky must come out of retirement to battle a gargantuan Soviet fighter named Drago, who brutally punished Rocky's friend and former rival, Apollo Creed. Seeking revenge in the name of his fallen comrade and his country, Rocky agrees to fight Drago in Moscow on Christmas, and the bout changes both fighters -- and the world.",75
376,অপরাজিত,Drama,The Unvanquished is the second part of the Bangladesh Apu film series about a boy named Apu who gets a scholarship to study at a College in Calcutta. His mother is alone and torn between wanting him to be successful and not wanting him to leave her alone.,76
377,River of No Return,"Adventure, Western",The itinerant farmer and his young son help a heart-of-gold saloon singer search for her estranged husband,76
378,Bunny Lake Is Missing,"Thriller, Mystery","A woman reports that her young daughter is missing, but there seems to be no evidence that she ever existed.",76
379,Lethal Weapon 3,"Adventure, Action, Comedy, Thriller, Crime","Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",76
380,Porgy and Bess,"Music, Drama, Romance","Set in the early 1900s in the fictional Catfish Row section of Charleston, South Carolina, which serves as home to a black fishing community, the story focuses on the titular characters, crippled beggar Porgy, who travels about in a goat-drawn cart, and the drug-addicted Bess, who lives with stevedore Crown, the local bully.",76
381,Light of Day,"Music, Drama","Fox and Jett play a brother and sister who are lead performers in a rock band, The Barbusters, in Cleveland, Ohio. The sister, Patti Rasnick, is an unmarried mother and has a troubled relationship with her own mother, who is deeply religious. Estranged from her parents and struggling to make ends meet, Patti decides to dive headlong into a carefree rock music lifestyle. The brother, Joe Rasnick, pulls away from rock music to provide some stability for his young nephew. It takes a family crisis to bring Patti back home and force her to face the prickly past with her mother.",77
382,Will Penny,"Romance, Western","Will Penny, an aging cowpoke, takes a job on a ranch which requires him to ride the line of the property looking for trespassers or, worse, squatters. He finds that his cabin in the high mountains has been appropriated by a woman whose guide to Oregon has deserted her and her son. Too ashamed to kick mother and child out just as the bitter winter of the mountains sets in, he agrees to share the cabin until the spring thaw. But it isn't just the snow that slowly thaws; the lonely man and woman soon forget their mutual hostility and start developing a deep love for one another.",77
383,The Garden of Eden,Drama,A young American writer completes his service in WWI and travels across Europe with his wife and her attractive Italian girlfriend. Based on the novel by Ernest Hemingway.,77
384,Yesterday,Drama,"After falling ill, Yesterday learns that she is HIV positive. With her husband in denial and young daughter to tend to, Yesterday's one goal is to live long enough to see her child go to school.",77
385,Don't Come Knocking,"Drama, Music","Howard Spence has seen better days. Once a big Western movie star, he now drowns his disgust for his selfish and failed life with alcohol, drugs and young women. If he were to die now, nobody would shed a tear over him, that's the sad truth. Until one day Howard learns that he might have a child somewhere out there...",77
386,El orfanato,"Horror, Drama, Thriller","A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend.",78
387,Yesterday,Drama,"After falling ill, Yesterday learns that she is HIV positive. With her husband in denial and young daughter to tend to, Yesterday's one goal is to live long enough to see her child go to school.",78
388,House of Boys,"Drama, Romance","A glamorous, colourful coming-of-age story that follows the dramatic journey of Frank, a high school kid in 1984 through an exciting world of sex and music, when his deep new passion is suddenly turned into a struggle for courage, facing a new disease - the ""gay cancer"" and becomes deep, true love in the expectancy of his friend's horrible death and beyond.",78
389,Ne touchez pas la hache,"Drama, Music, Romance","In Majorca, in 1823, a French general, Armand de Montriveau, overhears a cloistered nun singing in a chapel; he insists on speaking to her. She is Antoinette, for five years he has searched for her. Flash back to their meeting in Paris, he recently returned from Africa, she married and part of the highest society. She flirts with him, and soon he's captivated. His behavior is possessive, insistent. Then, it is her turn to become obsessed. Letters, balls, scandal, a kidnapping, and an ultimatum bring her to the cloister and him to melancholy.",78
390,Captain Corelli's Mandolin,"Drama, History, Romance","When a Greek fisherman leaves to fight with the Greek army during WWII, his fiancee falls in love with the local Italian commander. The film is based on a novel about an Italian soldier's experiences during the Italian occupation of the Greek island of Cephalonia (Kefalonia), but Hollywood made it into a pure love story by removing much of the ""unpleasant"" stuff.",78
391,Halbe Treppe,"Comedy, Drama",In the style of a documentary this tragic comedy tells the story of a relationship crisis between two married couples and their longing to break out of their miserable daily lives. In this East German post-wall movie Andreas Dresen introduces the sad everyday life of two couples from Frankfurt an der Oder in a honest and tolerable manner.,79
392,The 39 Steps,"Action, Thriller, Mystery","While on vacation in London, Canadian Richard Hannay becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith, who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan from sending secrets out of the country. Hannay is assisted by Pamela, an unwilling accomplice who discovers the truth.",79
393,48 Hrs.,"Thriller, Action, Comedy, Crime, Drama","A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",79
394,La passion de Jeanne d'Arc,"Drama, History","A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",79
395,Trois couleurs : Rouge,"Drama, Mystery, Romance",Red This is the third film from the trilogy by Kieślowski. “Red” meaning brotherliness. Here Kieślowski masterly tells strange coincidentally linked stories in the most packed work.,79
396,"Lock, Stock and Two Smoking Barrels","Comedy, Crime",A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,80
397,Poltergeist,Horror,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late.",80
398,Catch Me If You Can,"Drama, Crime","A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",80
399,The Dark,"Horror, Thriller, Mystery",Adèle and her daughter Sarah are traveling on the Welsh coastline to see her husband James when Sarah disappears. A different but similar looking girl appears who says she died in a past time. Adèle tries to discover what happened to her daughter as she is tormented by Celtic mythology from the past.,80
400,Jarhead,"Drama, War","Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.",80
401,Rock 'n' Roll High School,"Comedy, Music","A group of rock-music-loving students, with the help of the Ramones, take over their school to combat its newly installed oppressive administration.",81
402,The Unforgiven,"Romance, Western, Drama",The neighbors of a frontier family turn on them when it is suspected that their adopted daughter was stolen from the local Kiawa tribe.,81
403,Bushwhacked,"Adventure, Action, Comedy, Crime, Family","A inept courier realises he has been used by criminals to deliver money. On the run from both the criminals and police, he poses as a Scout leader and leads a scout group on a hike through the mountains.",81
404,Arctic Tale,"Documentary, Family","Arctic Tale is a 2007 documentary film from the National Geographic Society about the life cycle of a walrus and her calf, and a polar bear and her cubs, in a similar vein to the 2005 hit production March of the Penguins, also from National Geographic.",81
405,2010,"Thriller, Science Fiction","This is a sequel to 2001 A Space Odyssey. It is now 2010 and both the Americans and the Russians are racing to get to Jupiter to investigate the black monolith (similar to the one found in Lunar Crater Clavius) which was found by the U.S.S. Discovery in orbit around Jupiter's moons. The U.S.S. Discovery's orbit is rapidly decaying and it will crash into IO but the Americans cannot get there in time to save U.S.S. Discovery. The Russians can get to Jupiter in time but only the Americans have the knowledge to access and awaken the U.S.S. Discovery's H.A.L.9000 sentient computer. This forces a joint American-Soviet space expedition against a backdrop of growing global tensions. The combined expedition is seeking answers to several mysteries. What is the significance of the black monolith? Why did H.A.L.9000 act so bizarrely and terminate 4 of 5 of the U.S.S. Discovery's crew? What happened to David Bowman? Along the way, curious data is detected  ...",81
406,Knallhart,"Drama, Thriller","From the youth directed novel of the same name by Greogor Tressnow comes a film by Detlev Buck that is a realistic portrait of life in the section of Berlin called Neukölln. It’s about power and weakness, delinquents and victims, and the difficulties a 15-year-old faces in a poor and criminal environment.",82
407,Live and Let Die,"Adventure, Action, Thriller",James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,82
408,Crustacés et coquillages,Comedy,Crustaces et Coquillages is a fresh French comedy film with numerous surprise turnarounds and about the tolerance of a family of four. The family spend an idealistic summer vacation together where each of the family members gets involved in a new or old relationship.,82
409,Bang Boom Bang - Ein todsicheres Ding,"Crime, Action, Comedy",Bank robber Kelle Grabowski escapes from prison while his unemployed smalltime crook buddy is sitting around doing nothing after he just lost all their money. A fast paced comedy from German director Peter Thorwarth.,82
410,L'arrivée d'un train en gare de La Ciotat,Documentary,"A group of people are standing along the platform of a railway station in La Ciotat, waiting for a train. One is seen coming, at some distance, and eventually stops at the platform. Doors of the railway-cars open and attendants help passengers off and on.  Popular legend has it that, when this film was shown, the first-night audience fled the café in terror, fearing being run over by the ""approaching"" train. This legend has since been identified as promotional embellishment, though there is evidence to suggest that people were astounded at the capabilities of the Lumières' cinématographe.",82
411,Avalon,Drama,"Avalon is the third in Levinson's semi-autobiographical series of four ""Baltimore Films"": Diner (1982), Tin Men (1987), Avalon (1990), and Liberty Heights (1999). The film is set in Baltimore in the early 1950s and explores the themes of Jewish assimilation into American life.",83
